Date,S&P500_CPI,S&P500_CDP,,,,,,,,,,,
01.01.1980,107.94,7.7,,,,,,,,,,,
02.01.1980,105.76,7.5,,,,,,,,,,,
03.01.1980,105.22,7.5,,,,,,,,,,,
04.01.1980,106.52,7.6,,,,,,,,,,,
07.01.1980,106.81,7.6,,,,,,,,,,,
08.01.1980,108.95,7.7,,,,,,,,,,,
09.01.1980,109.05,7.7,,,,,,,,,,,
10.01.1980,109.89,7.8,,,,,,,,,,,
11.01.1980,109.92,7.8,,,,,,,,,,,
14.01.1980,110.38,7.8,,,,,,,,,,,
15.01.1980,111.14,7.9,,,,,,,,,,,
16.01.1980,111.05,7.9,,,,,,,,,,,
17.01.1980,110.7,7.8,,,,,,,,,,,
18.01.1980,111.07,7.8,,,,,,,,,,,
21.01.1980,112.1,7.9,,,,,,,,,,,
22.01.1980,111.51,7.9,,,,,,,,,,,
23.01.1980,113.44,8,,,,,,,,,,,
24.01.1980,113.7,8,,,,,,,,,,,
25.01.1980,113.61,8,,,,,,,,,,,
28.01.1980,114.85,8,,,,,,,,,,,
29.01.1980,114.07,8,,,,,,,,,,,
30.01.1980,115.2,8.1,,,,,,,,,,,
31.01.1980,114.16,8,,,,,,,,,,,
01.02.1980,115.12,8.1,,,,,,,,,,,
04.02.1980,114.37,8,,,,,,,,,,,
05.02.1980,114.66,8.1,,,,,,,,,,,
06.02.1980,115.72,8.1,,,,,,,,,,,
07.02.1980,116.28,8.1,,,,,,,,,,,
08.02.1980,117.95,8.2,,,,,,,,,,,
11.02.1980,117.12,8.1,,,,,,,,,,,
12.02.1980,117.9,8.2,,,,,,,,,,,
13.02.1980,118.44,8.2,,,,,,,,,,,
14.02.1980,116.72,8.1,,,,,,,,,,,
15.02.1980,115.41,8,,,,,,,,,,,
18.02.1980,115.41,8,,,,,,,,,,,
19.02.1980,114.6,8,,,,,,,,,,,
20.02.1980,116.47,8.1,,,,,,,,,,,
21.02.1980,115.28,7.9,,,,,,,,,,,
