ISIN,Industry
US4601461035,Manufacturing
US3825501014,Manufacturing
US5246601075,Manufacturing
US5010441013,Retail Trade
US1912161007,Manufacturing
US2600031080,Manufacturing
US3695501086,Manufacturing
US1890541097,Manufacturing
US2019111044,Manufacturing
US8851601018,Manufacturing
US6556631025,Manufacturing
US8718291078,Manufacturing
US4781601046,Construction
US9621661043,Manufacturing
US8832031012,Manufacturing
US7751331015,Manufacturing
US6284641098,Manufacturing
US1170431092,Manufacturing
US3138551086,Manufacturing
US2441991054,Manufacturing
US9139031002,Health Care and Social Assistance
US8425871071,Retail Trade
US1442851036,Manufacturing
US8873891043,Manufacturing
US6247521015,Manufacturing
US9047081040,Retail Trade
US0584981064,Manufacturing
US8965221091,Manufacturing
US2310211063,Retail Trade
US8318652091,Manufacturing
US9633201069,Manufacturing
US6078281002,Manufacturing
US0245914066,Manufacturing
US0970231058,Manufacturing
US0781112000,Manufacturing
US6102361010,Manufacturing
US1491231015,Manufacturing
US2172041061,Manufacturing
US9258112005,Manufacturing
US3873281071,"Mining, Quarrying and Oil & Gas Extraction"
US3703341046,Manufacturing
US0091581068,Manufacturing
US0320951017,Manufacturing
US0441861046,Manufacturing
US88830M1027,Manufacturing
US4282911084,Manufacturing
US0192222075,Manufacturing
US3696043013,Manufacturing
US4830077040,Manufacturing
US8910921084,Manufacturing
US94106L1098,Retail Trade
US5732841060,"Mining, Quarrying and Oil & Gas Extraction"
US8536661056,Manufacturing
US9024941034,Manufacturing
US3500601097,Manufacturing
US95082P1057,Manufacturing
US5398301094,Manufacturing
US8285991001,Manufacturing
US92343V1044,Information
US6806652052,Manufacturing
US3715321028,Manufacturing
US4219061086,Health Care and Social Assistance
US6937181088,Manufacturing
US6081901042,Manufacturing
US7613121075,Manufacturing
US3989051095,Retail Trade
US9780971035,Manufacturing
US55616P1049,Retail Trade
US65486W1053,Manufacturing
US0240611030,Manufacturing
US2186831002,Manufacturing
US1508701034,Manufacturing
US0010841023,Construction
US8585861003,Manufacturing
US6935061076,Manufacturing
US7739031091,Manufacturing
US3615181035,Manufacturing
US55303J1060,Manufacturing
US8835561023,Manufacturing
US0936981085,Manufacturing
US4385161066,Manufacturing
US30219E2028,Transportation and Warehousing
KYG367381053,Transportation and Warehousing
US5626942081,Accommodation and Food Services
US6907421019,Manufacturing
US04247X1028,Manufacturing
US29364G1031,Utilities
US9111631035,Transportation and Warehousing
US61945C1036,Construction
US8175651046,Personal Serv & Private Organizations
US3379321074,Utilities
US28238P1093,Health Care and Social Assistance
KYG6501M1050,Manufacturing
US56585A1025,Manufacturing
US92831R2013,Manufacturing
US0998631024,Manufacturing
US8589121081,Transportation and Warehousing
US04238R1068,Manufacturing
US03852U1060,Accommodation and Food Services
US7607591002,Support Serv. & Waste Management
US90346E1038,Manufacturing
US88033G4073,Health Care and Social Assistance
US98419M1009,Manufacturing
