Name,INTERNATIONAL PAPER - TOTAL ASSETS,GOODYEAR TIRE - TOTAL ASSETS,LEGGETT & PLATT INC - TOTAL ASSETS,KROGER CO - TOTAL ASSETS,COCA-COLA - TOTAL ASSETS,DOVER CORP - TOTAL ASSETS,GENERAL DYNAMICS - TOTAL ASSETS,CLOROX CO - TOTAL ASSETS,"THOR INDUSTRIES, INC - TOTAL ASSETS",NORDSON CORPORATION - TOTAL ASSETS,SYSCO CORPORATION - TOTAL ASSETS,JOHNSON & JOHNSON - TOTAL ASSETS,WEYERHAEUSER CO - TOTAL ASSETS,TEXTRON INC - TOTAL ASSETS,ROGERS CORPORATION - TOTAL ASSETS,MYERS INDUSTRIES - TOTAL ASSETS,BRUNSWICK CORP - TOTAL ASSETS,FEDERAL SIGNAL CORP - TOTAL ASSETS,DEERE & COMPANY - TOTAL ASSETS,UNIVERSAL HEALTH SVC - TOTAL ASSETS,SOUTHERN CO - TOTAL ASSETS,CARPENTER TECHNOLOGY - TOTAL ASSETS,TIMKEN CO - TOTAL ASSETS,MUELLER (PAUL) CO. - TOTAL ASSETS,UNIFIRST CORPORATION - TOTAL ASSETS,BALL CORPORATION - TOTAL ASSETS,TRINITY INDUSTRIES - TOTAL ASSETS,CUMMINS INC. - TOTAL ASSETS,A O SMITH CORP - TOTAL ASSETS,WHIRLPOOL CORP - TOTAL ASSETS,MODINE MFG CO. - TOTAL ASSETS,AMERICAN BILTRITE - TOTAL ASSETS,BOEING CO - TOTAL ASSETS,"BELL INDUSTRIES, INC - TOTAL ASSETS",MONRO INC - TOTAL ASSETS,CATERPILLAR INC - TOTAL ASSETS,COPART INC - TOTAL ASSETS,VICON INDUSTRIES - TOTAL ASSETS,GRANITE CONSTRUCTION - TOTAL ASSETS,"GENERAL MILLS, INC. - TOTAL ASSETS",AIR PRODUCTS - TOTAL ASSETS,AMPHENOL CORP - TOTAL ASSETS,ASHLAND - TOTAL ASSETS,TITAN INTERNATIONAL - TOTAL ASSETS,HEXCEL CORP - TOTAL ASSETS,ALLIED HEALTHCARE - TOTAL ASSETS,GENERAL ELECTRIC CO - TOTAL ASSETS,TORO CO - TOTAL ASSETS,WASTE MANAGEMENT - TOTAL ASSETS,MARTIN MARIETTA MAT - TOTAL ASSETS,STANDARD MOTOR - TOTAL ASSETS,"TYSON FOODS, INC. - TOTAL ASSETS",L B FOSTER CO - TOTAL ASSETS,WESCO INTERNATIONAL - TOTAL ASSETS,LOCKHEED MARTIN CORP - TOTAL ASSETS,"SIMCLAR, INC. - TOTAL ASSETS",VERIZON COMMUNICATNS - TOTAL ASSETS,OLIN CORP - TOTAL ASSETS,GENESCO INC. - TOTAL ASSETS,HEALTHCARE SVCS - TOTAL ASSETS,PACCAR INC. - TOTAL ASSETS,MOHAWK INDUSTRIES - TOTAL ASSETS,REUNION INDUSTRIES - TOTAL ASSETS,GROUP 1 AUTOMOTIVE - TOTAL ASSETS,WOLVERINE WORLD WIDE - TOTAL ASSETS,MACY'S INC - TOTAL ASSETS,"NO BORDERS, INC. - TOTAL ASSETS",AMERICAN AXLE - TOTAL ASSETS,CORE MOLDING TECHLGS - TOTAL ASSETS,CELANESE CORPORATION - TOTAL ASSETS,AGCO CORP - TOTAL ASSETS,STEPAN COMPANY - TOTAL ASSETS,PPG INDUSTRIES INC - TOTAL ASSETS,ROCKWELL AUTOMATION - TOTAL ASSETS,GBX INTERNATIONA - TOTAL ASSETS,MGP INGREDIENTS - TOTAL ASSETS,THERMO FISHER - TOTAL ASSETS,BLONDER TONGUE LABS - TOTAL ASSETS,HONEYWELL INTERNATNL - TOTAL ASSETS,EXPRESS INC - TOTAL ASSETS,FRESH DEL MONTE PROD - TOTAL ASSETS,MCAP INC - TOTAL ASSETS,OWENS CORNING - TOTAL ASSETS,ARMSTRONG WORLD - TOTAL ASSETS,ENTERGY CORPORATION - TOTAL ASSETS,UNITED NATURAL FOODS - TOTAL ASSETS,MOSAIC CO - TOTAL ASSETS,SERVICE CORPORATION - TOTAL ASSETS,FIRSTENERGY CORP - TOTAL ASSETS,"EHEALTH, INC. - TOTAL ASSETS",NEXTEER AUTOMOTIVE - TOTAL ASSETS,MARATHON PETRO - TOTAL ASSETS,VISKASE COMPANIES - TOTAL ASSETS,BORN INC - TOTAL ASSETS,"STERICYCLE, INC. - TOTAL ASSETS",ARMSTRONG - TOTAL ASSETS,ARAMARK - TOTAL ASSETS,REPUBLIC SERVICES - TOTAL ASSETS,US SILICA HO - TOTAL ASSETS,TENET HEALTHCARE - TOTAL ASSETS
ISIN codes,US4601461035,US3825501014,US5246601075,US5010441013,US1912161007,US2600031080,US3695501086,US1890541097,US8851601018,US6556631025,US8718291078,US4781601046,US9621661043,US8832031012,US7751331015,US6284641098,US1170431092,US3138551086,US2441991054,US9139031002,US8425871071,US1442851036,US8873891043,US6247521015,US9047081040,US0584981064,US8965221091,US2310211063,US8318652091,US9633201069,US6078281002,US0245914066,US0970231058,US0781112000,US6102361010,US1491231015,US2172041061,US9258112005,US3873281071,US3703341046,US0091581068,US0320951017,US0441861046,US88830M1027,US4282911084,US0192222075,US3696043013,US8910921084,US94106L1098,US5732841060,US8536661056,US9024941034,US3500601097,US95082P1057,US5398301094,US8285991001,US92343V1044,US6806652052,US3715321028,US4219061086,US6937181088,US6081901042,US7613121075,US3989051095,US9780971035,US55616P1049,US65486W1053,US0240611030,US2186831002,US1508701034,US0010841023,US8585861003,US6935061076,US7739031091,US3615181035,US55303J1060,US8835561023,US0936981085,US4385161066,US30219E2028,KYG367381053,US5626942081,US6907421019,US04247X1028,US29364G1031,US9111631035,US61945C1036,US8175651046,US3379321074,US28238P1093,KYG6501M1050,US56585A1025,US92831R2013,US0998631024,US8589121081,US04238R1068,US03852U1060,US7607591002,US90346E1038,US88033G4073
1980,1.031,0.636,0.488,0.194,0.576,0.569,0.514,0.587,NA,0.699,0.230,0.691,1.155,0.648,0.820,0.582,0.770,0.622,0.951,1.157,3.047,0.632,0.768,NA,NA,0.618,0.450,0.671,1.164,0.479,NA,NA,0.629,0.455,NA,0.709,NA,NA,NA,0.483,1.232,NA,0.414,NA,0.653,NA,0.742,0.457,NA,NA,0.754,0.493,NA,NA,NA,NA,2.388,0.837,0.391,NA,0.462,NA,NA,NA,0.509,NA,NA,NA,NA,NA,NA,NA,0.895,0.642,NA,NA,0.708,NA,0.822,NA,NA,NA,0.671,NA,3.132,NA,NA,1.407,3.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976
1981,1.113,0.585,0.466,0.213,0.605,0.548,0.460,0.583,NA,0.671,0.240,0.708,1.270,0.660,0.715,0.608,0.954,0.705,1.044,1.032,2.917,0.669,0.772,NA,NA,0.591,0.512,0.721,0.586,0.465,NA,NA,0.710,0.463,NA,0.796,NA,NA,NA,0.474,1.195,NA,0.442,NA,0.701,NA,0.769,0.631,NA,NA,0.701,0.436,0.438,NA,NA,NA,2.296,0.808,0.573,NA,0.489,NA,NA,NA,0.509,NA,NA,NA,NA,NA,NA,NA,0.881,0.683,NA,NA,0.818,NA,0.834,NA,NA,NA,0.674,NA,3.001,NA,NA,1.260,3.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972
1982,1.386,0.598,0.489,0.229,0.788,0.591,0.429,0.622,NA,0.729,0.254,0.731,1.415,0.694,0.702,0.614,0.737,0.764,1.288,1.053,2.497,0.892,1.000,NA,0.781,0.578,0.534,0.807,0.605,0.555,NA,NA,0.840,0.468,NA,1.113,NA,NA,NA,0.509,1.383,NA,0.475,NA,0.753,NA,0.816,0.737,NA,NA,0.702,0.421,0.559,NA,NA,NA,2.169,0.897,0.536,NA,0.656,NA,NA,NA,0.567,NA,NA,NA,NA,NA,NA,NA,0.992,0.659,NA,NA,0.777,NA,1.017,NA,NA,NA,0.673,NA,3.572,NA,NA,1.623,3.670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.031
1983,1.289,0.615,0.569,0.230,0.766,0.698,0.397,0.661,NA,0.909,0.265,0.747,1.218,0.706,0.713,0.615,0.672,0.728,1.482,1.622,2.487,1.147,1.182,NA,0.683,0.614,0.773,0.784,0.513,0.550,NA,NA,0.671,0.507,NA,1.285,NA,NA,NA,0.530,1.358,NA,0.523,NA,0.773,NA,0.869,0.628,NA,NA,0.734,0.422,0.675,NA,NA,NA,2.131,0.946,0.511,NA,0.634,NA,NA,NA,0.579,NA,NA,NA,NA,NA,NA,NA,0.982,0.646,NA,NA,0.998,NA,0.763,NA,NA,NA,0.596,NA,3.815,NA,NA,1.487,3.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067
1984,1.229,0.605,0.548,0.232,0.809,0.713,0.387,0.720,NA,0.853,0.259,0.742,1.074,0.686,0.663,0.611,0.635,0.658,1.295,1.401,2.450,1.064,1.112,NA,0.740,0.592,1.116,0.647,0.472,0.499,NA,NA,0.819,0.468,NA,0.946,NA,NA,NA,0.510,1.342,NA,0.489,NA,0.763,NA,0.885,0.586,NA,NA,0.756,0.398,0.594,NA,NA,NA,2.310,0.882,0.541,NA,0.445,NA,NA,NA,0.609,NA,NA,NA,NA,NA,NA,NA,0.895,0.630,NA,NA,0.826,NA,0.763,NA,NA,NA,0.573,NA,3.991,NA,NA,1.560,4.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.082
1985,1.341,0.725,0.565,0.244,0.873,0.706,0.545,0.738,NA,0.809,0.259,0.793,1.154,1.074,0.761,0.603,0.651,0.627,1.345,1.723,2.426,1.117,1.261,NA,0.703,0.580,1.036,0.794,0.542,0.507,NA,NA,0.678,0.480,NA,0.895,NA,NA,NA,0.621,1.418,NA,0.498,NA,0.733,NA,0.934,0.498,NA,NA,0.719,0.415,0.575,NA,NA,NA,2.178,0.912,0.529,NA,0.559,NA,NA,NA,0.587,NA,NA,NA,NA,NA,NA,NA,0.940,0.647,NA,NA,0.834,NA,1.456,NA,NA,NA,0.716,NA,4.217,NA,NA,1.708,4.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.123
1986,1.427,0.946,0.597,0.238,0.966,0.715,0.512,0.780,NA,0.794,0.246,0.839,1.160,1.106,0.785,0.588,1.092,0.626,1.415,0.903,2.650,1.249,1.327,NA,0.850,0.685,1.067,0.864,0.761,0.549,NA,NA,0.677,0.504,NA,0.859,NA,NA,NA,0.455,1.365,NA,0.544,NA,0.775,NA,0.982,0.432,NA,NA,0.870,0.506,0.894,NA,NA,NA,2.126,0.905,0.564,NA,0.601,NA,NA,NA,0.546,NA,NA,NA,NA,NA,NA,0.588,0.990,0.627,NA,NA,0.932,NA,0.955,NA,NA,NA,0.602,NA,4.119,NA,NA,2.150,4.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.917
1987,1.122,0.848,0.592,0.253,1.091,0.725,0.539,0.829,0.333,0.800,0.235,0.817,1.030,0.992,0.744,0.785,0.614,0.666,1.151,1.090,2.736,1.252,1.192,NA,1.040,0.745,1.029,0.730,0.703,0.578,0.678,0.553,0.818,0.505,NA,0.839,NA,NA,NA,0.439,1.267,NA,0.580,NA,0.754,NA,0.976,0.464,NA,NA,0.778,0.452,0.440,NA,NA,NA,2.063,0.873,0.637,0.721,0.536,NA,NA,NA,0.548,NA,NA,NA,NA,NA,NA,0.598,0.962,0.721,NA,NA,1.112,NA,0.920,NA,NA,NA,0.550,NA,4.387,NA,NA,2.231,4.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.192
1988,0.993,0.797,0.590,0.242,0.894,0.699,0.641,0.917,0.354,0.665,0.233,0.791,1.538,1.723,0.741,0.597,0.637,0.669,0.978,0.981,2.727,1.143,1.025,NA,0.871,0.817,0.914,0.624,0.795,0.771,0.685,0.593,0.743,0.444,NA,0.945,NA,NA,NA,0.516,1.233,NA,0.549,NA,0.782,NA,2.244,0.440,3.370,NA,0.888,0.459,0.409,NA,NA,NA,2.279,0.841,0.574,1.069,0.867,NA,NA,NA,0.567,NA,NA,NA,NA,NA,NA,0.557,0.918,0.771,NA,0.742,0.979,NA,0.840,NA,NA,NA,0.564,NA,4.471,NA,NA,2.702,3.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.095
