Name,INTERNATIONAL PAPER - EMPLOYEES,GOODYEAR TIRE - EMPLOYEES,LEGGETT & PLATT INC - EMPLOYEES,KROGER CO - EMPLOYEES,COCA-COLA - EMPLOYEES,DOVER CORP - EMPLOYEES,GENERAL DYNAMICS - EMPLOYEES,CLOROX CO - EMPLOYEES,"THOR INDUSTRIES, INC - EMPLOYEES",NORDSON CORPORATION - EMPLOYEES,SYSCO CORPORATION - EMPLOYEES,JOHNSON & JOHNSON - EMPLOYEES,WEYERHAEUSER CO - EMPLOYEES,TEXTRON INC - EMPLOYEES,ROGERS CORPORATION - EMPLOYEES,MYERS INDUSTRIES - EMPLOYEES,BRUNSWICK CORP - EMPLOYEES,FEDERAL SIGNAL CORP - EMPLOYEES,DEERE & COMPANY - EMPLOYEES,UNIVERSAL HEALTH SVC - EMPLOYEES,SOUTHERN CO - EMPLOYEES,CARPENTER TECHNOLOGY - EMPLOYEES,TIMKEN CO - EMPLOYEES,MUELLER (PAUL) CO. - EMPLOYEES,UNIFIRST CORPORATION - EMPLOYEES,BALL CORPORATION - EMPLOYEES,TRINITY INDUSTRIES - EMPLOYEES,CUMMINS INC. - EMPLOYEES,A O SMITH CORP - EMPLOYEES,WHIRLPOOL CORP - EMPLOYEES,MODINE MFG CO. - EMPLOYEES,AMERICAN BILTRITE - EMPLOYEES,BOEING CO - EMPLOYEES,"BELL INDUSTRIES, INC - EMPLOYEES",MONRO INC - EMPLOYEES,CATERPILLAR INC - EMPLOYEES,COPART INC - EMPLOYEES,VICON INDUSTRIES - EMPLOYEES,GRANITE CONSTRUCTION - EMPLOYEES,"GENERAL MILLS, INC. - EMPLOYEES",AIR PRODUCTS - EMPLOYEES,AMPHENOL CORP - EMPLOYEES,ASHLAND - EMPLOYEES,TITAN INTERNATIONAL - EMPLOYEES,HEXCEL CORP - EMPLOYEES,ALLIED HEALTHCARE - EMPLOYEES,GENERAL ELECTRIC CO - EMPLOYEES,TORO CO - EMPLOYEES,WASTE MANAGEMENT - EMPLOYEES,MARTIN MARIETTA MAT - EMPLOYEES,STANDARD MOTOR - EMPLOYEES,"TYSON FOODS, INC. - EMPLOYEES",L B FOSTER CO - EMPLOYEES,WESCO INTERNATIONAL - EMPLOYEES,LOCKHEED MARTIN CORP - EMPLOYEES,"SIMCLAR, INC. - EMPLOYEES",VERIZON COMMUNICATNS - EMPLOYEES,OLIN CORP - EMPLOYEES,GENESCO INC. - EMPLOYEES,HEALTHCARE SVCS - EMPLOYEES,PACCAR INC. - EMPLOYEES,MOHAWK INDUSTRIES - EMPLOYEES,REUNION INDUSTRIES - EMPLOYEES,GROUP 1 AUTOMOTIVE - EMPLOYEES,WOLVERINE WORLD WIDE - EMPLOYEES,MACY'S INC - EMPLOYEES,"NO BORDERS, INC. - EMPLOYEES",AMERICAN AXLE - EMPLOYEES,CORE MOLDING TECHLGS - EMPLOYEES,CELANESE CORPORATION - EMPLOYEES,AGCO CORP - EMPLOYEES,STEPAN COMPANY - EMPLOYEES,PPG INDUSTRIES INC - EMPLOYEES,ROCKWELL AUTOMATION - EMPLOYEES,GBX INTERNATIONA - EMPLOYEES,MGP INGREDIENTS - EMPLOYEES,THERMO FISHER - EMPLOYEES,BLONDER TONGUE LABS - EMPLOYEES,HONEYWELL INTERNATNL - EMPLOYEES,EXPRESS INC - EMPLOYEES,FRESH DEL MONTE PROD - EMPLOYEES,MCAP INC - EMPLOYEES,OWENS CORNING - EMPLOYEES,ARMSTRONG WORLD - EMPLOYEES,ENTERGY CORPORATION - EMPLOYEES,UNITED NATURAL FOODS - EMPLOYEES,MOSAIC CO - EMPLOYEES,SERVICE CORPORATION - EMPLOYEES,FIRSTENERGY CORP - EMPLOYEES,"EHEALTH, INC. - EMPLOYEES",NEXTEER AUTOMOTIVE - EMPLOYEES,MARATHON PETRO - EMPLOYEES,VISKASE COMPANIES - EMPLOYEES,BORN INC - EMPLOYEES,"STERICYCLE, INC. - EMPLOYEES",ARMSTRONG - EMPLOYEES,ARAMARK - EMPLOYEES,REPUBLIC SERVICES - EMPLOYEES,US SILICA HO - EMPLOYEES,TENET HEALTHCARE - EMPLOYEES
ISIN codes,US4601461035,US3825501014,US5246601075,US5010441013,US1912161007,US2600031080,US3695501086,US1890541097,US8851601018,US6556631025,US8718291078,US4781601046,US9621661043,US8832031012,US7751331015,US6284641098,US1170431092,US3138551086,US2441991054,US9139031002,US8425871071,US1442851036,US8873891043,US6247521015,US9047081040,US0584981064,US8965221091,US2310211063,US8318652091,US9633201069,US6078281002,US0245914066,US0970231058,US0781112000,US6102361010,US1491231015,US2172041061,US9258112005,US3873281071,US3703341046,US0091581068,US0320951017,US0441861046,US88830M1027,US4282911084,US0192222075,US3696043013,US8910921084,US94106L1098,US5732841060,US8536661056,US9024941034,US3500601097,US95082P1057,US5398301094,US8285991001,US92343V1044,US6806652052,US3715321028,US4219061086,US6937181088,US6081901042,US7613121075,US3989051095,US9780971035,US55616P1049,US65486W1053,US0240611030,US2186831002,US1508701034,US0010841023,US8585861003,US6935061076,US7739031091,US3615181035,US55303J1060,US8835561023,US0936981085,US4385161066,US30219E2028,KYG367381053,US5626942081,US6907421019,US04247X1028,US29364G1031,US9111631035,US61945C1036,US8175651046,US3379321074,US28238P1093,KYG6501M1050,US56585A1025,US92831R2013,US0998631024,US8589121081,US04238R1068,US03852U1060,US7607591002,US90346E1038,US88033G4073
1980,46000,144452,5000,124642,41000,12564,84400,5000,NA,2448,5500,NA,45714,61000,2520,728,25000,2284,61000,NA,27940,4937,22218,NA,NA,11000,5700,21214,9800,23106,NA,NA,106300,1800,NA,86350,NA,NA,NA,66032,15800,NA,24600,NA,2100,NA,402000,2680,NA,NA,2600,7000,NA,NA,NA,NA,NA,21000,21800,NA,NA,NA,NA,NA,6016,NA,NA,NA,NA,NA,NA,NA,37300,108199,NA,NA,2600,NA,46269,NA,NA,NA,24000,NA,12406,NA,NA,3090,7503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25283
1981,36000,137982,5300,127271,38100,13423,81000,5200,NA,2498,6000,77100,42812,49000,2473,852,21200,2414,61039,NA,28944,4843,20920,NA,NA,10000,7500,22788,9600,19312,NA,NA,105300,1600,NA,83455,NA,NA,NA,71225,16200,NA,34400,NA,2100,NA,404000,2652,NA,NA,2400,8000,1799,NA,NA,NA,NA,20300,18000,NA,NA,NA,NA,NA,7209,NA,NA,NA,NA,NA,NA,NA,36600,103455,NA,NA,3100,NA,58224,NA,NA,NA,23800,NA,13292,NA,NA,2468,7669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28200
1982,33700,131096,5200,156622,40600,12297,85100,5600,NA,2485,7200,79700,40760,41000,2357,729,18800,2827,48372,NA,29882,4348,15520,NA,NA,9600,4800,18932,9700,18949,NA,NA,95700,1700,NA,61306,NA,NA,NA,75893,18894,NA,30600,NA,1770,NA,367000,1709,NA,NA,2400,9200,1300,NA,NA,NA,NA,17500,16000,NA,NA,NA,NA,NA,7818,NA,NA,NA,NA,NA,NA,NA,37000,100271,NA,NA,2500,NA,44337,NA,NA,NA,21900,NA,13865,NA,NA,NA,7885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40100
1983,33600,129765,6700,161932,40000,13498,92600,5600,NA,1787,7500,77400,40018,41000,2291,844,18400,3118,45728,NA,30875,4192,17764,NA,2000,9000,3800,18615,9893,22627,NA,NA,84600,2000,NA,58097,NA,NA,NA,81186,16700,NA,29000,NA,1852,NA,340000,1809,NA,NA,2500,9200,1050,NA,NA,NA,81400,18200,13200,NA,NA,NA,NA,NA,8990,NA,NA,NA,NA,NA,NA,NA,37000,102707,NA,NA,2700,NA,117500,NA,NA,NA,22800,NA,12942,NA,NA,3565,7702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50200
1984,32300,133271,6700,159124,40500,16193,99000,5700,NA,1684,8300,74200,37806,43000,2701,778,19400,3236,43011,NA,31121,4933,19313,NA,2200,9100,5000,21028,9810,22004,NA,NA,86600,2300,NA,61624,NA,NA,NA,80927,17700,NA,33900,NA,2057,NA,330000,1783,NA,NA,2500,10400,1250,NA,NA,NA,79500,17800,12400,NA,NA,NA,NA,NA,7910,NA,NA,NA,NA,NA,NA,NA,37700,105759,NA,NA,3000,NA,114500,NA,NA,NA,23700,NA,13453,NA,NA,4100,7611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55100
1985,31900,134115,7400,178151,38520,16701,103300,5600,NA,1730,9100,74900,35079,56000,2558,764,18700,3422,40509,9800,31701,4806,17561,NA,2500,9000,5400,19624,9885,25524,NA,NA,98700,1800,NA,53616,NA,NA,NA,63162,18700,NA,32800,NA,2735,NA,300000,1915,NA,NA,2250,16900,1080,NA,NA,NA,79285,14900,10000,NA,8683,NA,NA,NA,7218,NA,NA,NA,NA,NA,NA,NA,37500,123266,NA,NA,3200,NA,143800,NA,NA,NA,25200,NA,13599,NA,NA,4947,7496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69000
1986,44000,121586,8500,173900,28030,16539,105400,5100,NA,1838,10700,77100,41700,72000,2515,814,26800,3388,37481,10800,31700,4389,16565,NA,2600,9000,5400,23000,11600,30956,NA,NA,118500,1900,NA,53731,NA,NA,NA,62100,16600,NA,34400,NA,2987,NA,359000,2399,NA,NA,3170,25000,4310,NA,NA,NA,80185,13200,6875,NA,8232,NA,NA,NA,5814,NA,NA,NA,NA,NA,NA,948,36500,121194,NA,NA,3678,NA,137200,NA,NA,NA,27700,NA,13307,NA,NA,5844,7383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81000
1987,45500,114658,9800,170000,17400,17592,105300,4500,1355,1833,12000,78200,39835,61000,2738,1330,28400,3842,37931,10800,31957,3782,16721,NA,4300,6900,5700,24500,11100,30412,4083,1100,136100,2300,NA,54463,NA,NA,NA,65619,12100,NA,41800,NA,3300,NA,302000,2764,NA,NA,3360,25500,571,NA,NA,NA,80950,17000,6600,2810,10847,NA,NA,NA,6353,NA,NA,NA,NA,NA,NA,1002,36800,116148,NA,NA,3900,NA,115300,NA,NA,NA,18800,NA,13560,NA,NA,7432,7266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79800
1988,55500,114161,10600,160000,18774,20412,102800,4800,1329,2052,13000,81300,46976,60000,3089,1416,28500,4067,38268,7700,32523,3891,18050,NA,4500,7100,6800,26100,11500,29110,4279,1200,147300,1920,NA,60558,NA,NA,NA,74453,13300,NA,37600,NA,3509,NA,298000,3105,45,NA,3660,26230,532,NA,NA,NA,81000,16400,6400,4040,13709,NA,NA,NA,5434,NA,NA,NA,NA,NA,NA,1028,36300,112200,NA,NA,4610,NA,109550,NA,NA,NA,17600,NA,13049,NA,NA,12354,7180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71600
