date,DAX PERFORMANCE - TOT RETURN IND,S&P 500 COMPOSITE - TOT RETURN IND,US DOLLAR S/T DEPOSIT (FT/RFV) - MIDDLE RATE
01.01.2001,6040.21,1837.36,6.6875
02.01.2001,5959.36,1785.86,6.7031
03.01.2001,6086.17,1875.56,6.4688
04.01.2001,6023.06,1855.82,6.0469
05.01.2001,6073.78,1807.13,5.9531
08.01.2001,6072.32,1804.04,5.8906
09.01.2001,6024.6,1810.98,5.9375
10.01.2001,5945.8,1828.5,5.9844
11.01.2001,6141.76,1847.37,6
12.01.2001,6157.18,1835.53,5.9531
15.01.2001,6143.9,1835.53,6
16.01.2001,6117.5,1847.13,6.1406
17.01.2001,6190.37,1851.16,5.9375
18.01.2001,6268.1,1876.94,5.875
19.01.2001,6219.85,1869.38,5.8906
22.01.2001,6243.58,1869.89,5.9688
23.01.2001,6314.12,1894.25,6
24.01.2001,6189.72,1899.71,6.0781
25.01.2001,6190.5,1890.27,6.0313
26.01.2001,6173.2,1886.8,6.0156
29.01.2001,6200.57,1899.75,6.0625
30.01.2001,6230.67,1913.13,6
31.01.2001,6319.41,1902.55,5.7031
01.02.2001,6304.58,1913.11,5.6094
02.02.2001,6195.61,1879.69,5.5156
05.02.2001,6230.57,1886.48,5.5
06.02.2001,6234.63,1883.72,5.4844
07.02.2001,6135.84,1868.29,5.5625
08.02.2001,6097.96,1856.66,5.5469
09.02.2001,6005.1,1831.96,5.4375
12.02.2001,6103.9,1853.65,5.4688
13.02.2001,6041.36,1837.77,5.4375
14.02.2001,5951.94,1834.1,5.4375
15.02.2001,5956.15,1849.15,5.5781
16.02.2001,5896.43,1814.22,5.4531
19.02.2001,5959.28,1814.22,5.5313
20.02.2001,5864.1,1782.75,5.5156
21.02.2001,5790.5,1749.86,5.5781
22.02.2001,5699.58,1746.5,5.5625
23.02.2001,5518.32,1736.82,5.4688
26.02.2001,5630.18,1767.29,5.5313
27.02.2001,5714.24,1753.88,5.5
28.02.2001,5709.86,1729.07,5.5781
01.03.2001,5693.2,1730.92,5.5781
02.03.2001,5761.54,1721.09,5.4688
05.03.2001,5775.11,1731.42,5.6094
